Nuskaityti duomenis į atmintį iš .csv tipo failo:
SCHOOL_NAME; CHILDS_COUNT; TYPE_ID; LAN_ID; TYPE_LABEL; LAN_LABEL; DARZ_ID; FREE_SPACE; 
Aitvaras; 33; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 31; 0; 
Aitvaras; 30; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 31; 0; 
Aitvaras; 23; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 31; 0; 
Aitvaras; 23; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 31; 0; 
Aitvaras; 46; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 31; 1; 
Aitvaras; 15; 12; 1; "Nuo 2 iki 3 metų"; Lietuvių; 31; 0; 
Aitvaras; 24; 13; 1; "Nuo 4 iki 6 metų"; Lietuvių; 31; 0; 
Aitvaras; 2; 14; 1; "Nuo 3 iki 6 metų"; Lietuvių; 31; 0; 
Aitvaras; 133; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 31; 0; 
Aitvaras; 0; 25; 1; "Nuo 1,5 iki 7 metų"; Lietuvių; 31; 0; 
Atžalėlės; 97; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 32; 6; 
Atžalėlės; 23; 4; 1; "Nuo 3 iki 7 metų"; Lietuvių; 32; 0; 
Atžalėlės; 46; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 32; 7; 
Atžalėlės; 26; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 32; 1; 
Atžalėlės; 25; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 32; 0; 
Atžalėlės; 3; 9; 1; "Nuo 6 iki 7 metų"; Lietuvių; 32; 2; 
Atžalėlės; 24; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 32; 0; 
Atžalėlės; 17; 20; 1; "Nuo 2 iki 6 metų"; Lietuvių; 32; 2; 
Atžalėlės; 0; 28; 1; "Nuo 1 iki 7 metų"; Lietuvių; 32; 0; 
Aušrelė; 82; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 33; 0; 
Aušrelė; 3; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 33; 1; 
Aušrelė; 54; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 33; 0; 
Aušrelė; 22; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 33; 0; 
Aušrelė; 1; 9; 1; "Nuo 6 iki 7 metų"; Lietuvių; 33; 0; 
Aušrelė; 43; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 33; 0; 
Aušrelė; 4; 12; 1; "Nuo 2 iki 3 metų"; Lietuvių; 33; 0; 
Aušrelė; 70; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 33; 0; 
Beržynėlis; 15; 1; 1; "Iki 1,5 metų"; Lietuvių; 34; 0; 
Beržynėlis; 36; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 34; 0; 
Beržynėlis; 20; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 34; 0; 
Beržynėlis; 19; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 34; 0; 
Beržynėlis; 18; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 34; 0; 
Beržynėlis; 3; 9; 1; "Nuo 6 iki 7 metų"; Lietuvių; 34; 0; 
Beržynėlis; 26; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 34; 0; 
Beržynėlis; 3; 13; 1; "Nuo 4 iki 6 metų"; Lietuvių; 34; 3; 
Birutės; 4; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 36; 0; 
Birutės; 24; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 36; 0; 
Birutės; 23; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 36; 0; 
Birutės; 1; 9; 1; "Nuo 6 iki 7 metų"; Lietuvių; 36; 1; 
Birutės; 24; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 36; 0; 
Birutės; 20; 12; 1; "Nuo 2 iki 3 metų"; Lietuvių; 36; 0; 
Birutės; 20; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 36; 0; 
Bitutė; 70; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 37; 0; 
Bitutė; 25; 4; 1; "Nuo 3 iki 7 metų"; Lietuvių; 37; 0; 
Bitutė; 44; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 37; 0; 
Bitutė; 41; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 37; 0; 
Bitutė; 2; 9; 1; "Nuo 6 iki 7 metų"; Lietuvių; 37; 0; 
Bitutė; 1; 10; 1; "Nuo 3 iki 5 metų"; Lietuvių; 37; 0; 
Bitutė; 59; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 37; 0; 
Bitutė; 78; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 37; 0; 
Bitutė; 0; 28; 1; "Nuo 1 iki 7 metų"; Lietuvių; 37; 1; 
Coliukė; 19; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 39; 0; 
Coliukė; 22; 4; 1; "Nuo 3 iki 7 metų"; Lietuvių; 39; 0; 
Coliukė; 12; 17; 1; "Nuo 1 iki 2 metų"; Lietuvių; 39; 12; 
Coliukė; 0; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 39; 13; 
Čiauškutis; 10; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 40; 0; 
Čiauškutis; 19; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 40; 0; 
Čiauškutis; 27; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 40; 0; 
Čiauškutis; 20; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 40; 0; 
Čiauškutis; 10; 10; 1; "Nuo 3 iki 5 metų"; Lietuvių; 40; 0; 
Čiauškutis; 43; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 40; 0; 
Čiauškutis; 18; 13; 1; "Nuo 4 iki 6 metų"; Lietuvių; 40; 0; 
Daigelis; 20; 13; 1; "Nuo 4 iki 6 metų"; Lietuvių; 41; 0; 
Daigelis; 15; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 41; 0; 
Drevinukas; 48; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 44; 0; 
Drevinukas; 11; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 44; 3; 
Drevinukas; 35; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 44; 0; 
Drevinukas; 37; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 44; 0; 
Drevinukas; 24; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 44; 0; 
Drevinukas; 42; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 44; 0; 
Drevinukas; 0; 28; 1; "Nuo 1 iki 7 metų"; Lietuvių; 44; 1; 
Drugelis; 53; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 45; 0; 
Drugelis; 26; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 45; 0; 
Drugelis; 23; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 45; 0; 
Drugelis; 25; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 45; 0; 
Drugelis; 17; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 45; 0; 
"Du gaideliai"; 35; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 46; 21; 
"Du gaideliai"; 21; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 46; 0; 
"Du gaideliai"; 25; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 46; 0; 
"Du gaideliai"; 24; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 46; 0; 
"Du gaideliai"; 0; 9; 1; "Nuo 6 iki 7 metų"; Lietuvių; 46; 23; 
"Du gaideliai"; 21; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 46; 0; 
"Du gaideliai"; 0; 12; 1; "Nuo 2 iki 3 metų"; Lietuvių; 46; 1; 
"Du gaideliai"; 0; 28; 1; "Nuo 1 iki 7 metų"; Lietuvių; 46; 20; 
Eglutė; 104; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 47; 0; 
Eglutė; 4; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 47; 0; 
Eglutė; 44; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 47; 0; 
Eglutė; 44; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 47; 0; 
Eglutė; 52; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 47; 0; 
Eglutė; 5; 16; 1; "Nuo 4 iki 7 metų"; Lietuvių; 47; 0; 
Eglutė; 73; 18; 1; "Nuo 2 iki 4 metų"; Lietuvių; 47; 0; 
Gandriukas; 89; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 49; 0; 
Gandriukas; 62; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 49; 0; 
Gandriukas; 43; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 49; 0; 
Gandriukas; 64; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 49; 0; 
Gandriukas; 46; 11; 1; "Nuo 5 iki 7 metų"; Lietuvių; 49; 0; 
"Geniukų kalvė"; 67; 3; 1; "Nuo 1,5 iki 3 metų"; Lietuvių; 50; 0; 
"Geniukų kalvė"; 32; 6; 1; "Nuo 3 iki 4 metų"; Lietuvių; 50; 0; 
"Geniukų kalvė"; 65; 7; 1; "Nuo 4 iki 5 metų"; Lietuvių; 50; 0; 
"Geniukų kalvė"; 48; 8; 1; "Nuo 5 iki 6 metų"; Lietuvių; 50; 3; 
"Geniukų kalvė"; 1; 9; 1; "Nuo 6 iki 7 metų"; Lietuvių; 50; 0; 
